id,user_id,center,extent
0,1,POINT (-71.1776257388646485 42.3547180823710221),"POLYGON ((-71.1774780203579240 42.3544960022284229, -71.1774966730091165 42.3544821316756668, -71.1775165650538071 42.3544701058622621, -71.1775375146531957 42.3544600347195512, -71.1775593303010936 42.3544520103107018, -71.1775818125744735 42.3544461059891049, -71.1776047559565512 42.3544423757278281, -71.1776279507153760 42.3544408536262438, -71.1776511848211157 42.3544415535983134, -71.1776742458842335 42.3544444692453936, -71.1776969230970451 42.3544495739147280, -71.1777190091607537 42.3544568209430992, -71.1777403021803963 42.3544661440833679, -71.1777606075104785 42.3544774581100754, -71.1777797395342446 42.3544906595985182, -71.1777975233604536 42.3545056278701466, -71.1778137964221287 42.3545222260957743, -71.1778284099626148 42.3545403025463258, -71.1778412303954156 42.3545596919798655, -71.1778521405253315 42.3545802171521046, -71.1778921565019260 42.3546650526002963, -71.1779011725722484 42.3546868492213591, -71.1779080339604064 42.3547094169763625, -71.1779126760792309 42.3547325434319220, -71.1779150552317788 42.3547560108954997, -71.1779151490227804 42.3547795984646172, -71.1779129565693722 42.3548030841062229, -71.1779084985093959 42.3548262467467254, -71.1779018168072213 42.3548488683529811, -71.1778929743586133 42.3548707359846830, -71.1778820543987649 42.3548916437987799, -71.1778691597187674 42.3549113949871412, -71.1778544116980498 42.3549298036290907, -71.1778379491617414 42.3549466964415302, -71.1778199270739975 42.3549619144100760, -71.1778005150792126 42.3549753142859018, -71.1777798959051751 42.3549867699341007, -71.1777582636430282 42.3549961735210871, -71.1777358219202512 42.3550034365295929, -71.1777127819838853 42.3550084905919064, -71.1776893607120371 42.3550112881334471, -71.1776657785723899 42.3550118028205702, -71.1776422575468644 42.3550100298084473, -71.1776190190421403 42.3550059857866898, -71.1775962818054779 42.3549997088222412, -71.1775742598656365 42.3549912580010215, -71.1775531605181726 42.3549807128718001, -71.1775331823741766 42.3549681726973191, -71.1774711982627508 42.3549249370953476, -71.1774459752553241 42.3549047235680476, -71.1774324106308001 42.3548922851561613, -71.1774152258794288 42.3548748554531826, -71.1773998807810671 42.3548557861537134, -71.1773865308741307 42.3548352705447684, -71.1773753114736820 42.3548135165731878, -71.1773663362999116 42.3547907447379117, -71.1773596963254818 42.3547671858549748, -71.1773554588533557 42.3547430787179451, -71.1773536668346907 42.3547186676775098, -71.1773543384334317 42.3546942001647508, -71.1773574668422668 42.3546699241831206, -71.1773630203515211 42.3546460857947338, -71.1773709426706489 42.3546229266262344, -71.1773811534987857 42.3546006814196829, -71.1773935493386603 42.3545795756531831, -71.1774080045456543 42.3545598232554354, -71.1774243726013225 42.3545416244373669, -71.1774424875985687 42.3545251636627569, -71.1774780203579240 42.3544960022284229))"
1,1,POINT (-71.1772558455960507 42.3549684768049275),"POLYGON ((-71.1770127253490728 42.3549684768049275, -71.1770138960395258 42.3549446468535606, -71.1770173968364475 42.3549210463976564, -71.1770231940252955 42.3548979027224988, -71.1770312317759277 42.3548754387143376, -71.1770414326804541 42.3548538707138462, -71.1770536984985540 42.3548334064326681, -71.1770679111037197 42.3548142429530046, -71.1770839336207786 42.3547965648296483, -71.1771016117441206 42.3547805423125965, -71.1771207752237842 42.3547663297074379, -71.1771412395049765 42.3547540638893310, -71.1771628075054679 42.3547438629848116, -71.1771852715136220 42.3547358252341652, -71.1772084151887867 42.3547300280453314, -71.1772320156446909 42.3547265272483955, -71.1772558455960507 42.3547253565579567, -71.1772796755474104 42.3547265272483955, -71.1773032760033146 42.3547300280453314, -71.1773264196784794 42.3547358252341652, -71.1773488836866335 42.3547438629848116, -71.1773704516871248 42.3547540638893310, -71.1773909159683171 42.3547663297074379, -71.1774100794479807 42.3547805423125965, -71.1774277575713228 42.3547965648296483, -71.1774437800883817 42.3548142429530046, -71.1774579926935473 42.3548334064326681, -71.1774702585116472 42.3548538707138462, -71.1774804594161736 42.3548754387143376, -71.1774884971668058 42.3548979027224988, -71.1774942943556539 42.3549210463976564, -71.1774977951525756 42.3549446468535606, -71.1774989658430286 42.3549684768049275, -71.1774977951525756 42.3549923067562943, -71.1774942943556539 42.3550159072121986, -71.1774884971668058 42.3550390508873562, -71.1774804594161736 42.3550615148955174, -71.1774702585116472 42.3550830828960088, -71.1774579926935473 42.3551035471771868, -71.1774437800883817 42.3551227106568504, -71.1774277575713228 42.3551403887802067, -71.1774100794479807 42.3551564112972585, -71.1773909159683171 42.3551706239024170, -71.1773704516871248 42.3551828897205240, -71.1773488836866335 42.3551930906250433, -71.1773264196784794 42.3552011283756897, -71.1773032760033146 42.3552069255645236, -71.1772796755474104 42.3552104263614595, -71.1772558455960507 42.3552115970518983, -71.1772320156446909 42.3552104263614595, -71.1772084151887867 42.3552069255645236, -71.1771852715136220 42.3552011283756897, -71.1771628075054679 42.3551930906250433, -71.1771412395049765 42.3551828897205240, -71.1771207752237842 42.3551706239024170, -71.1771016117441206 42.3551564112972585, -71.1770839336207786 42.3551403887802067, -71.1770679111037197 42.3551227106568504, -71.1770536984985540 42.3551035471771868, -71.1770414326804541 42.3550830828960088, -71.1770312317759277 42.3550615148955174, -71.1770231940252955 42.3550390508873562, -71.1770173968364475 42.3550159072121986, -71.1770138960395258 42.3549923067562943, -71.1770127253490728 42.3549684768049275))"
2,1,POINT (-81.4044783162989205 44.4365293993599835),"POLYGON ((-81.4046768604340798 44.4361105846098425, -81.4047013769941543 44.4361084737989884, -81.4047259824972684 44.4361087678336872, -81.4047504416153487 44.4361114639017813, -81.4047745204203181 44.4361165362179591, -81.4047979886214534 44.4361239362703699, -81.4048206217678683 44.4361335932845947, -81.4048422033951766 44.4361454149005297, -81.4048625270957444 44.4361592880557339, -81.4048813984928472 44.4361750800667394, -81.4048986370996204 44.4361926398980955, -81.4049140780452660 44.4362117996067951, -81.4049275736519462 44.4362323759485633, -81.4049389948470719 44.4362541721303899, -81.4049482323978566 44.4362769796926429, -81.4049551979559567 44.4363005805028095, -81.4049598249024626 44.4363247488417343, -81.4049620689850855 44.4363492535623692, -81.4049761001302841 44.4366799365290390, -81.4049759241658961 44.4367048237600315, -81.4049732904516077 44.4367295718666000, -81.4049682247541284 44.4367539387280885, -81.4049607766331889 44.4367776859537003, -81.4049510189567513 44.4368005812147899, -81.4049390471880940 44.4368224005178334, -81.4049249784518310 44.4368429303958052, -81.4049089503880623 44.4368619699966843, -81.4048911198057539 44.4368793330483953, -81.4048716611486896 44.4368948496812379, -81.4048507647886908 44.4369083680897603, -81.4048286351632697 44.4369197560179430, -81.4044427905232624 44.4370947475669027, -81.4044209460301715 44.4371034483003271, -81.4043983847309960 44.4371100719261989, -81.4043753036472282 44.4371145606022324, -81.4043519043395349 44.4371168751300871, -81.4043283911474873 44.4371169952976359, -81.4043049694052314 44.4371149200554925, -81.4042818436482776 44.4371106675261558, -81.4041051803024089 44.4370695643282758, -81.4040811757868283 44.4370627078244880, -81.4040579688553123 44.4370535063711998, -81.4040357879519831 44.4370420505455854, -81.4040148514209676 44.4370284531163620, -81.4039953653570194 44.4370128479337367, -81.4039775215768486 44.4369953886118196, -81.4039614957308117 44.4369762470164815, -81.4039474455739764 44.4369556115735378, -81.4039355094131025 44.4369336854139050, -81.4039258047452137 44.4369106843740553, -81.4039184271010186 44.4368868348713590, -81.4039134491044791 44.4368623716752609, -81.4039109197579478 44.4368375355962826, -81.4039108639597515 44.4368125711155315, -81.4039132822591824 44.4367877239780569, -81.4039181508509984 44.4367632387738212, -81.4039747215258416 44.4365378449959820, -81.4039818247024840 44.4365144308405959, -81.4039911684427580 44.4364918172980055, -81.4040026643921379 44.4364702182022171, -81.4040162038447335 44.4364498377946120, -81.4041493039317885 44.4362692024439667, -81.4041638577902233 44.4362512410804342, -81.4041799986951133 44.4362346912597417, -81.4041975903984962 44.4362196926815542, -81.4042164844060068 44.4362063719512648, -81.4042365212303309 44.4361948415112735, -81.4042575317374428 44.4361851986918523, -81.4042793385743124 44.4361775248895867, -81.4043390604951611 44.4361595461511030, -81.4043582528487661 44.4361545839692695, -81.4043777762761493 44.4361511480606239, -81.4046768604340798 44.4361105846098425))"
3,1,POINT (-81.4038352637716116 44.4347788702689570),"POLYGON ((-81.4039233123018846 44.4350195034056057, -81.4039015487460205 44.4350311669731184, -81.4038787467580960 44.4350406411758527, -81.4038551259337169 44.4350478347720639, -81.4038309137543337 44.4350526784834798, -81.4038063433964680 44.4350551256625224, -81.4037816514860992 44.4350551527415121, -81.4037570758198257 44.4350527594596727, -81.4037328530747430 44.4350479688656037, -81.4037092165291227 44.4350408270953494, -81.4036863938158461 44.4350314029280611, -81.4036646047300820 44.4350197871236290, -81.4036440591126649 44.4350060915485869, -81.4036249548290982 44.4349904480988158, -81.4036074758641064 44.4349730074292992, -81.4035917905496547 44.4349539375031952, -81.4035780499439028 44.4349334219743355, -81.4035663863763830 44.4349116584184785, -81.4035569121736557 44.4348888564305469, -81.4035497185774375 44.4348652356061677, -81.4035448748660144 44.4348410234267845, -81.4035424276869719 44.4348164530689189, -81.4035424006079893 44.4347917611585501, -81.4035447938898358 44.4347671854922766, -81.4035495844838977 44.4347429627471939, -81.4035567262541520 44.4347193262015807, -81.4035661504214403 44.4346965034882899, -81.4035777662258795 44.4346747144025329, -81.4035914618009144 44.4346541687851087, -81.4036071052506855 44.4346350645015562, -81.4036245459202092 44.4346175855365573, -81.4036436158463061 44.4346019002220984, -81.4036641313751659 44.4345881596163466, -81.4037472152413528 44.4345382371323083, -81.4037689787972170 44.4345265735647956, -81.4037917807851414 44.4345170993620613, -81.4038154016095206 44.4345099057658501, -81.4038396137889038 44.4345050620544342, -81.4038641841467694 44.4345026148753917, -81.4038888760571382 44.4345025877964019, -81.4039134517234118 44.4345049810782413, -81.4039376744684944 44.4345097716723103, -81.4039613110141147 44.4345169134425646, -81.4039841337273913 44.4345263376098529, -81.4040059228131554 44.4345379534142850, -81.4040264684305725 44.4345516489893271, -81.4040455727141392 44.4345672924390982, -81.4040630516791310 44.4345847331086148, -81.4040787369935828 44.4346038030347188, -81.4040924775993346 44.4346243185635785, -81.4041041411668544 44.4346460821194356, -81.4041136153695817 44.4346688841073671, -81.4041208089657999 44.4346925049317463, -81.4041256526772230 44.4347167171111295, -81.4041280998562655 44.4347412874689951, -81.4041281269352481 44.4347659793793639, -81.4041257336534017 44.4347905550456375, -81.4041209430593398 44.4348147777907201, -81.4041138012890855 44.4348384143363333, -81.4041043771217971 44.4348612370496241, -81.4040927613173579 44.4348830261353811, -81.4040790657423230 44.4349035717528054, -81.4040634222925519 44.4349226760363578, -81.4040459816230282 44.4349401550013567, -81.4040269116969313 44.4349558403158156, -81.4040063961680715 44.4349695809215675, -81.4039233123018846 44.4350195034056057))"
4,1,POINT (-81.3465188852368755 42.9605982037216947),"POLYGON ((-81.3464046982561371 42.9601316406890632, -81.3464268213746209 42.9601259573620524, -81.3464493769461399 42.9601223547559741, -81.3464721697167761 42.9601208640570675, -81.3464950023793136 42.9601214981696558, -81.3465176772811560 42.9601242516045119, -81.3465399981354125 42.9601291005263164, -81.3465617717199905 42.9601360029600485, -81.3465828095503269 42.9601448991542867, -81.3466468678939520 42.9601755746287068, -81.3466654751819078 42.9601854888529218, -81.3466831631945126 42.9601969630507980, -81.3466998014736191 42.9602099125942445, -81.3468833632461497 42.9603658853848103, -81.3469000919307774 42.9603814992690261, -81.3469152941423630 42.9603986029245704, -81.3469288378001636 42.9604170477504823, -81.3469406052334278 42.9604366734933762, -81.3469504942036536 42.9604573096397644, -81.3469584187929371 42.9604787768974958, -81.3469643101503976 42.9605008887535220, -81.3469681170904124 42.9605234530943605, -81.3469698065373308 42.9605462738752166, -81.3469709775421990 42.9605891981118546, -81.3469703538030160 42.9606146166735385, -81.3469695278383824 42.9606254149750413, -81.3469679071577048 42.9606404757065761, -81.3469674670275253 42.9606436435566081, -81.3469631938248909 42.9606664392320283, -81.3469567885524469 42.9606887299377931, -81.3469483083764118 42.9607103167322109, -81.3469378289812965 42.9607310069559034, -81.3469254438943494 42.9607506159512837, -81.3468257118803422 42.9608931326144727, -81.3468109593502504 42.9609121553955333, -81.3467944146772055 42.9609296418799360, -81.3467762369398883 42.9609454239333459, -81.3467566009191358 42.9609593498096984, -81.3465969652495176 42.9610611823470023, -81.3465762484711661 42.9610730222441575, -81.3465544801245244 42.9610827950203600, -81.3465318658538337 42.9610904083527956, -81.3465086192946956 42.9610957903187938, -81.3464849600559035 42.9610988900752488, -81.3464611116448424 42.9610996783389538, -81.3464372993559550 42.9610981476632361, -81.3464137481424814 42.9610943125082869, -81.3463906804912540 42.9610882091045809, -81.3463683143209408 42.9610798951105934, -81.3463468609233900 42.9610694490681126, -81.3463265229675159 42.9610569696602553, -81.3463074925847138 42.9610425747792135, -81.3462899495538352 42.9610264004125284, -81.3462740596028056 42.9610085993584505, -81.3462599728430149 42.9609893397824294, -81.3462478223512022 42.9609688036284894, -81.3462377229123064 42.9609471849004052, -81.3462093822289773 42.9608779270294008, -81.3462079334336465 42.9608743046677688, -81.3460661812234207 42.9605115545026877, -81.3460586167879285 42.9604890401418800, -81.3460532633807532 42.9604659001730198, -81.3460501711088000 42.9604423511819249, -81.3460493689151747 42.9604186135827959, -81.3460508643082392 42.9603949095551485, -81.3460546432914100 42.9603714609642893, -81.3460606704940972 42.9603484872846764, -81.3460688895028028 42.9603262035456979, -81.3460792233891397 42.9603048183190097, -81.3460915754298242 42.9602845317663693, -81.3461058300120783 42.9602655337661545, -81.3461218537156157 42.9602480021361188, -81.3461394965615767 42.9602321009690655, -81.3461585934161917 42.9602179790969743, -81.3461789655364242 42.9602057686979535, -81.3462004222430153 42.9601955840590577, -81.3462227627051675 42.9601875205066293, -81.3464046982561371 42.9601316406890632))"
